11;1;Il faut quelqu'un qui comprenne cette langue.;1
11;2;Il doit exister une correlation entre un lettre et un nombre dans vos connaissances…;1
11;3;3 lettres (A, H, K) lu par Banks, et leurs positions dans l'alphabet :1, 8 et 11 soit un code 1811;3
12;1;On cherche les valeurs manquantes pour certains fils dont les couleurs…;1
12;2;"Rappelez-vous vos cours de peinture au primaire; le gris, c'est du blanc et du noir…";1
12;3;"Le rouge avec du blanc fait du rose donc c'est 7; le violet (9) avec du rouge (7) donc le bleu est 2 et pour le vert : du bleu (2) avec du jaune (3) donc 5";3
13;1;Il faut ouvrir les vannes dans un certain ordre, rien de compliqué;1
13;2;Les divisions donnent toujours des résultats ronds;1
13;3;On part de 200, on enleve 80 (vanne 2), on divise par 2 soit 120/2=60 (vanne 3) , on ajoute 90 (vanne 4) soit 150 et on divise par 3 (vanne 1) soit 2341;3
14;1;On a besoin de 4 chiffres donc 4 éléments;1
14;2;Pour chaque élément, il faut réduire à une chiffre donc pour 11 c'est 1+1=2;1
14;3;"RaCe PuRe : Radium 88  Cerium 58 Plutonium 94  Rhenium 75 donc (88=16=7 ; 58=13=4 ; 94=13=4 ;75=12=3)  soit 7443";3
15;1;Que signifie ces lettres tracées ?;1
15;2;Ces lettres sont présentes ailleurs sur cette carte ?;1
15;3;En partant de l’étoile rouge (C4) Sud (C5) Ouest (B5) Sud (B6) soit 4556;3
